work_year,experience_level,employment_type,job_title,salary,employee_residence,workplace_type,company_location,company_size,Job_Category,region
2024,Senior,Full Time,Data Analyst,79765,Namibia,Remote,Namibia,M,Data Analyst,Europe
2024,Senior,Full Time,Data Scientist,170000,Namibia,In Person,Namibia,M,Data Scientist,Americas
2024,Senior,Full Time,Data Scientist,130000,Namibia,In Person,Namibia,M,Data Scientist,Americas
2024,Senior,Full Time,Data Scientist,297000,Namibia,In Person,Namibia,M,Data Scientist,Americas
2024,Senior,Full Time,Data Scientist,138000,Namibia,In Person,Namibia,M,Data Scientist,Americas
2024,Mid,Full Time,Research Scientist,212800,Namibia,In Person,Namibia,L,Research Scientist,Americas
2024,Mid,Full Time,Research Scientist,124100,Namibia,In Person,Namibia,L,Research Scientist,Americas
2024,Senior,Full Time,Data Science,160000,Namibia,Remote,Namibia,M,Other,Americas
2024,Senior,Full Time,Data Science,150000,Namibia,Remote,Namibia,M,Other,Americas
2024,Senior,Full Time,Data Operations Specialist,55720,Namibia,Remote,Namibia,M,Data Management,Americas
2024,Senior,Full Time,Data Operations Specialist,50700,Namibia,Remote,Namibia,M,Data Management,Americas
2024,Senior,Full Time,Data Analyst,140000,Namibia,In Person,Namibia,M,Data Analyst,Americas
2024,Senior,Full Time,Data Analyst,136000,Namibia,In Person,Namibia,M,Data Analyst,Americas
2024,Senior,Full Time,Data Engineer,195000,Namibia,Remote,Namibia,M,Data Engineer,Americas
2024,Senior,Full Time,Data Engineer,147500,Namibia,Remote,Namibia,M,Data Engineer,Americas
2024,Senior,Full Time,Data Engineer,195000,Namibia,Remote,Namibia,M,Data Engineer,Americas
2024,Senior,Full Time,Data Engineer,147500,Namibia,Remote,Namibia,M,Data Engineer,Americas
2024,Entry,Full Time,Research Analyst,300000,Namibia,In Person,Namibia,M,Data Analyst,Americas
2024,Entry,Full Time,Research Analyst,150000,Namibia,In Person,Namibia,M,Data Analyst,Americas
2024,Senior,Full Time,Data Engineer,154000,Namibia,In Person,Namibia,M,Data Engineer,Americas
2024,Senior,Full Time,Data Engineer,103000,Namibia,In Person,Namibia,M,Data Engineer,Americas
2024,Entry,Full Time,Research Analyst,300000,Namibia,In Person,Namibia,M,Data Analyst,Americas
2024,Entry,Full Time,Research Analyst,150000,Namibia,In Person,Namibia,M,Data Analyst,Americas
2024,Senior,Full Time,Machine Learning Engineer,234000,Namibia,Remote,Namibia,M,Machine Learning Engineer,Americas
2024,Senior,Full Time,Machine Learning Engineer,208000,Namibia,Remote,Namibia,M,Machine Learning Engineer,Americas
2024,Senior,Full Time,Data Engineer,206000,Namibia,Remote,Namibia,M,Data Engineer,Americas
2024,Senior,Full Time,Data Engineer,175100,Namibia,Remote,Namibia,M,Data Engineer,Americas
2024,Senior,Full Time,Machine Learning Engineer,324000,Namibia,In Person,Namibia,M,Machine Learning Engineer,Americas
2024,Senior,Full Time,Machine Learning Engineer,159000,Namibia,In Person,Namibia,M,Machine Learning Engineer,Americas
2024,Senior,Full Time,Data Engineer,150895,Namibia,In Person,Namibia,M,Data Engineer,Americas
2024,Senior,Full Time,Data Engineer,120715,Namibia,In Person,Namibia,M,Data Engineer,Americas
2024,Entry,Full Time,Research Analyst,300000,Namibia,Remote,Namibia,M,Data Analyst,Americas
2024,Entry,Full Time,Research Analyst,150000,Namibia,Remote,Namibia,M,Data Analyst,Americas
2024,Senior,Full Time,Data Scientist,283800,Namibia,In Person,Namibia,M,Data Scientist,Americas
2024,Senior,Full Time,Data Scientist,234700,Namibia,In Person,Namibia,M,Data Scientist,Americas
2024,Entry,Full Time,Business Intelligence Analyst,86000,Namibia,In Person,Namibia,M,Data Analyst,Americas
2024,Entry,Full Time,Business Intelligence Analyst,53000,Namibia,In Person,Namibia,M,Data Analyst,Americas
2024,Senior,Full Time,Data Scientist,187158,Namibia,In Person,Namibia,M,Data Scientist,Americas
2024,Senior,Full Time,Data Scientist,116974,Namibia,In Person,Namibia,M,Data Scientist,Americas
2024,Senior,Full Time,Analytics Engineer,225000,Namibia,In Person,Namibia,M,Data Analyst,Americas
2024,Senior,Full Time,Analytics Engineer,180000,Namibia,In Person,Namibia,M,Data Analyst,Americas
2024,Senior,Full Time,Data Scientist,179000,Namibia,In Person,Namibia,M,Data Scientist,Americas
2024,Senior,Full Time,Data Scientist,112000,Namibia,In Person,Namibia,M,Data Scientist,Americas
2024,Senior,Full Time,Machine Learning Engineer,195700,Namibia,In Person,Namibia,M,Machine Learning Engineer,Americas
2024,Senior,Full Time,Machine Learning Engineer,97700,Namibia,In Person,Namibia,M,Machine Learning Engineer,Americas
2024,Senior,Full Time,BI Analyst,100000,Namibia,In Person,Namibia,M,Data Analyst,Americas
2024,Senior,Full Time,BI Analyst,85000,Namibia,In Person,Namibia,M,Data Analyst,Americas
2024,Mid,Full Time,Data Analyst,119000,Namibia,In Person,Namibia,M,Data Analyst,Americas
2024,Mid,Full Time,Data Analyst,52100,Namibia,In Person,Namibia,M,Data Analyst,Americas
2024,Senior,Full Time,Business Intelligence Developer,136000,Namibia,In Person,Namibia,M,Business Intelligence,Americas
2024,Senior,Full Time,Business Intelligence Developer,91536,Namibia,In Person,Namibia,M,Business Intelligence,Americas
2024,Senior,Full Time,Data Engineer,199700,Namibia,In Person,Namibia,M,Data Engineer,Americas
2024,Senior,Full Time,Data Engineer,165100,Namibia,In Person,Namibia,M,Data Engineer,Americas
2024,Senior,Full Time,Machine Learning Engineer,251250,Namibia,In Person,Namibia,M,Machine Learning Engineer,Americas
2024,Senior,Full Time,Machine Learning Engineer,120750,Namibia,In Person,Namibia,M,Machine Learning Engineer,Americas
2024,Senior,Full Time,Data Scientist,240000,Namibia,Remote,Namibia,M,Data Scientist,Americas
2024,Senior,Full Time,Data Scientist,220000,Namibia,Remote,Namibia,M,Data Scientist,Americas
2024,Senior,Full Time,Data Science,160000,Namibia,Remote,Namibia,M,Other,Americas
2024,Senior,Full Time,Data Science,150000,Namibia,Remote,Namibia,M,Other,Americas
2024,Executive,Full Time,Data Science,300000,Namibia,Remote,Namibia,M,Other,Americas
2024,Executive,Full Time,Data Science,220000,Namibia,Remote,Namibia,M,Other,Americas
2024,Entry,Full Time,Data Analyst,130000,Namibia,In Person,Namibia,M,Data Analyst,Americas
2024,Entry,Full Time,Data Analyst,100000,Namibia,In Person,Namibia,M,Data Analyst,Americas
2024,Entry,Full Time,Data Analyst,170000,Namibia,Remote,Namibia,M,Data Analyst,Americas
2024,Entry,Full Time,Data Analyst,150000,Namibia,Remote,Namibia,M,Data Analyst,Americas
2024,Senior,Full Time,Data Analyst,150000,Namibia,In Person,Namibia,M,Data Analyst,Americas
2024,Senior,Full Time,Data Analyst,120000,Namibia,In Person,Namibia,M,Data Analyst,Americas
2024,Senior,Full Time,Data Scientist,247300,Namibia,In Person,Namibia,M,Data Scientist,Americas
2024,Senior,Full Time,Data Scientist,139800,Namibia,In Person,Namibia,M,Data Scientist,Americas
2024,Executive,Full Time,Data Engineer,220000,Namibia,Remote,Namibia,M,Data Engineer,Americas
2024,Executive,Full Time,Data Engineer,210000,Namibia,Remote,Namibia,M,Data Engineer,Americas
2024,Entry,Full Time,Research Analyst,116000,Namibia,Remote,Namibia,M,Data Analyst,Americas
2024,Entry,Full Time,Research Analyst,79000,Namibia,Remote,Namibia,M,Data Analyst,Americas
2024,Mid,Full Time,Data Scientist,130000,Namibia,In Person,Namibia,M,Data Scientist,Americas
2024,Mid,Full Time,Data Scientist,117000,Namibia,In Person,Namibia,M,Data Scientist,Americas
2024,Mid,Full Time,Data Scientist,172200,Namibia,In Person,Namibia,M,Data Scientist,Americas
2024,Mid,Full Time,Data Scientist,131200,Namibia,In Person,Namibia,M,Data Scientist,Americas
2024,Senior,Full Time,Research Scientist,210000,Namibia,In Person,Namibia,M,Research Scientist,Americas
2024,Senior,Full Time,Research Scientist,151800,Namibia,In Person,Namibia,M,Research Scientist,Americas
2024,Mid,Full Time,Data Engineer,133000,Namibia,In Person,Namibia,M,Data Engineer,Americas
2024,Mid,Full Time,Data Engineer,58300,Namibia,In Person,Namibia,M,Data Engineer,Americas
2024,Mid,Full Time,Research Scientist,359400,Namibia,Remote,Namibia,M,Research Scientist,Americas
2024,Mid,Full Time,Research Scientist,239600,Namibia,Remote,Namibia,M,Research Scientist,Americas
2024,Entry,Full Time,BI Analyst,80000,Namibia,In Person,Namibia,M,Data Analyst,Americas
2024,Entry,Full Time,BI Analyst,70000,Namibia,In Person,Namibia,M,Data Analyst,Americas
2024,Senior,Full Time,Data Science,324100,Namibia,In Person,Namibia,L,Other,Americas
2024,Senior,Full Time,Data Science,166700,Namibia,In Person,Namibia,L,Other,Americas
2024,Mid,Full Time,Data Engineer,100000,Namibia,In Person,Namibia,M,Data Engineer,Americas
2024,Mid,Full Time,Data Engineer,80000,Namibia,In Person,Namibia,M,Data Engineer,Americas
2024,Senior,Full Time,Data Analyst,85000,Namibia,In Person,Namibia,M,Data Analyst,Americas
2024,Senior,Full Time,Data Analyst,75000,Namibia,In Person,Namibia,M,Data Analyst,Americas
2024,Senior,Full Time,Data Scientist,243800,Namibia,Remote,Namibia,M,Data Scientist,Americas
2024,Senior,Full Time,Data Scientist,144200,Namibia,Remote,Namibia,M,Data Scientist,Americas
2024,Senior,Full Time,Machine Learning Engineer,220000,Namibia,In Person,Namibia,M,Machine Learning Engineer,Americas
2024,Senior,Full Time,Machine Learning Engineer,200000,Namibia,In Person,Namibia,M,Machine Learning Engineer,Americas
2024,Senior,Full Time,AI Architect,289000,Namibia,Remote,Namibia,L,Machine Learning Engineer,Americas
2024,Mid,Full Time,Business Intelligence Developer,77826,Namibia,Remote,Namibia,M,Business Intelligence,Americas
2024,Mid,Full Time,Business Intelligence Developer,59300,Namibia,Remote,Namibia,M,Business Intelligence,Americas
2024,Mid,Full Time,Data Scientist,166000,Namibia,In Person,Namibia,M,Data Scientist,Americas
2024,Mid,Full Time,Data Scientist,73100,Namibia,In Person,Namibia,M,Data Scientist,Americas
2024,Mid,Full Time,Research Engineer,151500,Namibia,In Person,Namibia,M,Data Engineer,Americas
2024,Mid,Full Time,Research Engineer,101000,Namibia,In Person,Namibia,M,Data Engineer,Americas
2024,Senior,Full Time,Machine Learning Engineer,182000,Namibia,In Person,Namibia,M,Machine Learning Engineer,Americas
2024,Senior,Full Time,Machine Learning Engineer,164000,Namibia,In Person,Namibia,M,Machine Learning Engineer,Americas
2024,Senior,Full Time,Analytics Engineer,132100,Namibia,Remote,Namibia,M,Data Analyst,Americas
2024,Senior,Full Time,Analytics Engineer,96700,Namibia,Remote,Namibia,M,Data Analyst,Americas
2024,Mid,Full Time,Data Manager,98500,Namibia,Remote,Namibia,M,Data Management,Americas
2024,Mid,Full Time,Data Manager,71500,Namibia,Remote,Namibia,M,Data Management,Americas
2024,Senior,Full Time,Machine Learning Engineer,200800,Namibia,In Person,Namibia,M,Machine Learning Engineer,Americas
2024,Senior,Full Time,Machine Learning Engineer,107800,Namibia,In Person,Namibia,M,Machine Learning Engineer,Americas
2024,Entry,Full Time,Data Analyst,106100,Namibia,In Person,Namibia,M,Data Analyst,Americas
2024,Entry,Full Time,Data Analyst,74300,Namibia,In Person,Namibia,M,Data Analyst,Americas
2024,Senior,Full Time,Data Analyst,153900,Namibia,In Person,Namibia,M,Data Analyst,Americas
2024,Senior,Full Time,Data Analyst,112715,Namibia,In Person,Namibia,M,Data Analyst,Americas
2024,Senior,Full Time,Analytics Engineer,105000,Namibia,In Person,Namibia,M,Data Analyst,Americas
2024,Senior,Full Time,Analytics Engineer,94200,Namibia,In Person,Namibia,M,Data Analyst,Americas
2024,Mid,Full Time,Data Product Manager,171000,Namibia,Remote,Namibia,M,Data Management,Americas
2024,Mid,Full Time,Data Product Manager,136000,Namibia,Remote,Namibia,M,Data Management,Americas
2024,Senior,Full Time,Machine Learning Engineer,221000,Namibia,In Person,Namibia,M,Machine Learning Engineer,Americas
2024,Senior,Full Time,Machine Learning Engineer,185000,Namibia,In Person,Namibia,M,Machine Learning Engineer,Americas
2024,Entry,Full Time,Data Analyst,92700,Namibia,Remote,Namibia,M,Data Analyst,Americas
2024,Entry,Full Time,Data Analyst,64900,Namibia,Remote,Namibia,M,Data Analyst,Americas
2024,Mid,Full Time,Data Engineer,126600,Namibia,In Person,Namibia,M,Data Engineer,Americas
2024,Mid,Full Time,Data Engineer,80800,Namibia,In Person,Namibia,M,Data Engineer,Americas
2024,Senior,Full Time,Data Scientist,164845,Namibia,In Person,Namibia,M,Data Scientist,Americas
2024,Senior,Full Time,Data Scientist,119887,Namibia,In Person,Namibia,M,Data Scientist,Americas
2024,Entry,Full Time,Data Analyst,93000,Namibia,In Person,Namibia,M,Data Analyst,Americas
2024,Entry,Full Time,Data Analyst,87000,Namibia,In Person,Namibia,M,Data Analyst,Americas
2024,Mid,Full Time,Data Analyst,103500,Namibia,In Person,Namibia,M,Data Analyst,Americas
2024,Mid,Full Time,Data Analyst,65600,Namibia,In Person,Namibia,M,Data Analyst,Americas
2024,Mid,Full Time,Business Intelligence Engineer,165600,Namibia,In Person,Namibia,L,Data Engineer,Americas
2024,Mid,Full Time,Business Intelligence Engineer,65800,Namibia,In Person,Namibia,L,Data Engineer,Americas
2024,Senior,Full Time,Data Scientist,164000,Namibia,Remote,Namibia,M,Data Scientist,Americas
2024,Senior,Full Time,Data Scientist,152000,Namibia,Remote,Namibia,M,Data Scientist,Americas
2024,Senior,Full Time,Applied Scientist,250000,Namibia,Remote,Namibia,M,Research Scientist,Americas
2024,Senior,Full Time,Applied Scientist,180000,Namibia,Remote,Namibia,M,Research Scientist,Americas
2024,Mid,Full Time,Machine Learning Engineer,202000,Namibia,In Person,Namibia,M,Machine Learning Engineer,Americas
2024,Mid,Full Time,Machine Learning Engineer,137000,Namibia,In Person,Namibia,M,Machine Learning Engineer,Americas
2024,Senior,Full Time,Machine Learning Scientist,204600,Namibia,In Person,Namibia,M,Machine Learning Engineer,Americas
2024,Senior,Full Time,Machine Learning Scientist,84500,Namibia,In Person,Namibia,M,Machine Learning Engineer,Americas
2024,Senior,Full Time,Research Engineer,190000,Namibia,In Person,Namibia,M,Data Engineer,Americas
2024,Senior,Full Time,Research Engineer,151500,Namibia,In Person,Namibia,M,Data Engineer,Americas
2024,Mid,Full Time,Data Science,81250,Namibia,In Person,Namibia,M,Other,Europe
2024,Mid,Full Time,Data Science,68750,Namibia,In Person,Namibia,M,Other,Europe
2024,Senior,Full Time,Data Scientist,168800,Namibia,In Person,Namibia,M,Data Scientist,Americas
2024,Senior,Full Time,Data Scientist,93800,Namibia,In Person,Namibia,M,Data Scientist,Americas
2024,Mid,Full Time,Data Scientist,132567,Namibia,In Person,Namibia,M,Data Scientist,Americas
2024,Mid,Full Time,Data Scientist,96412,Namibia,In Person,Namibia,M,Data Scientist,Americas
2024,Senior,Full Time,Machine Learning Engineer,309000,Namibia,In Person,Namibia,M,Machine Learning Engineer,Americas
2024,Senior,Full Time,Machine Learning Engineer,142000,Namibia,In Person,Namibia,M,Machine Learning Engineer,Americas
2024,Senior,Full Time,Research Engineer,333500,Namibia,In Person,Namibia,M,Data Engineer,Americas
2024,Senior,Full Time,Research Engineer,156000,Namibia,In Person,Namibia,M,Data Engineer,Americas
2024,Senior,Full Time,Data Scientist,266875,Namibia,In Person,Namibia,M,Data Scientist,Americas
2024,Senior,Full Time,Data Scientist,128250,Namibia,In Person,Namibia,M,Data Scientist,Americas
2024,Senior,Full Time,Data Engineer,191311,Namibia,Remote,Namibia,M,Data Engineer,Americas
2024,Senior,Full Time,Data Engineer,166358,Namibia,Remote,Namibia,M,Data Engineer,Americas
2024,Senior,Full Time,Data Scientist,218500,Namibia,Remote,Namibia,M,Data Scientist,Americas
2024,Senior,Full Time,Data Scientist,190000,Namibia,Remote,Namibia,M,Data Scientist,Americas
2024,Mid,Full Time,Data Specialist,70000,Namibia,In Person,Namibia,M,Data Management,Americas
2024,Mid,Full Time,Data Specialist,60000,Namibia,In Person,Namibia,M,Data Management,Americas
2024,Senior,Full Time,Machine Learning Engineer,324000,Namibia,In Person,Namibia,M,Machine Learning Engineer,Americas
2024,Senior,Full Time,Machine Learning Engineer,159000,Namibia,In Person,Namibia,M,Machine Learning Engineer,Americas
2024,Senior,Full Time,Analytics Engineer,179000,Namibia,In Person,Namibia,M,Data Analyst,Americas
2024,Senior,Full Time,Analytics Engineer,152000,Namibia,In Person,Namibia,M,Data Analyst,Americas
2024,Senior,Full Time,Machine Learning Engineer,235680,Namibia,In Person,Namibia,M,Machine Learning Engineer,Americas
2024,Senior,Full Time,Machine Learning Engineer,153040,Namibia,In Person,Namibia,M,Machine Learning Engineer,Americas
2024,Entry,Full Time,Data Analyst,140000,Namibia,In Person,Namibia,M,Data Analyst,Americas
2024,Entry,Full Time,Data Analyst,100000,Namibia,In Person,Namibia,M,Data Analyst,Americas
2024,Mid,Full Time,Data Analyst,187000,Namibia,In Person,Namibia,M,Data Analyst,Americas
2024,Mid,Full Time,Data Analyst,153000,Namibia,In Person,Namibia,M,Data Analyst,Americas
2024,Mid,Full Time,Data Engineer,185000,Namibia,In Person,Namibia,L,Data Engineer,Americas
2024,Mid,Full Time,Data Engineer,81000,Namibia,In Person,Namibia,L,Data Engineer,Americas
2024,Senior,Full Time,Machine Learning Engineer,290000,Namibia,In Person,Namibia,M,Machine Learning Engineer,Americas
2024,Senior,Full Time,Machine Learning Engineer,203000,Namibia,In Person,Namibia,M,Machine Learning Engineer,Americas
2024,Senior,Full Time,AI Engineer,142352,Namibia,In Person,Namibia,M,Machine Learning Engineer,Americas
2024,Senior,Full Time,AI Engineer,95325,Namibia,In Person,Namibia,M,Machine Learning Engineer,Americas
2024,Mid,Full Time,Data Analyst,187000,Namibia,In Person,Namibia,M,Data Analyst,Americas
2024,Mid,Full Time,Data Analyst,153000,Namibia,In Person,Namibia,M,Data Analyst,Americas
2024,Senior,Full Time,Data Scientist,190000,Namibia,In Person,Namibia,M,Data Scientist,Americas
2024,Senior,Full Time,Data Scientist,158500,Namibia,In Person,Namibia,M,Data Scientist,Americas
2024,Mid,Full Time,Data Scientist,240000,Namibia,In Person,Namibia,M,Data Scientist,Americas
2024,Mid,Full Time,Data Scientist,180000,Namibia,In Person,Namibia,M,Data Scientist,Americas
2024,Entry,Contract,AI Research Scientist,88888,Namibia,In Person,Namibia,L,Machine Learning Engineer,Europe
2024,Executive,Full Time,Data Science Director,106666,Namibia,Remote,Namibia,L,Other,Europe
2024,Executive,Full Time,Data Science Director,106666,Namibia,Remote,Namibia,L,Other,Europe
2024,Senior,Full Time,Data Engineer,130500,Namibia,In Person,Namibia,M,Data Engineer,Americas
2024,Senior,Full Time,Data Engineer,96000,Namibia,In Person,Namibia,M,Data Engineer,Americas
2024,Mid,Full Time,Data Scientist,166000,Namibia,In Person,Namibia,M,Data Scientist,Americas
2024,Mid,Full Time,Data Scientist,73100,Namibia,In Person,Namibia,M,Data Scientist,Americas
2024,Mid,Full Time,Machine Learning Engineer,62500,Namibia,In Person,Namibia,M,Machine Learning Engineer,Europe
2024,Mid,Full Time,Machine Learning Engineer,50000,Namibia,In Person,Namibia,M,Machine Learning Engineer,Europe
2024,Senior,Full Time,Data Analyst,234000,Namibia,In Person,Namibia,M,Data Analyst,Americas
2024,Senior,Full Time,Data Analyst,146000,Namibia,In Person,Namibia,M,Data Analyst,Americas
2024,Senior,Full Time,Data Engineer,125000,Namibia,In Person,Namibia,M,Data Engineer,Europe
2024,Senior,Full Time,Data Engineer,125000,Namibia,In Person,Namibia,M,Data Engineer,Europe
2024,Senior,Full Time,Data Scientist,65333,Namibia,In Person,Namibia,M,Data Scientist,Europe
2024,Senior,Full Time,Data Scientist,46666,Namibia,In Person,Namibia,M,Data Scientist,Europe
2024,Senior,Full Time,Data Engineer,105000,Namibia,Remote,Namibia,M,Data Engineer,Americas
2024,Senior,Full Time,Data Engineer,95000,Namibia,Remote,Namibia,M,Data Engineer,Americas
2024,Entry,Full Time,Data Analyst,60500,Namibia,In Person,Namibia,M,Data Analyst,Americas
2024,Entry,Full Time,Data Analyst,40300,Namibia,In Person,Namibia,M,Data Analyst,Americas
2024,Mid,Full Time,Data Analyst,160000,Namibia,In Person,Namibia,M,Data Analyst,Americas
2024,Mid,Full Time,Data Analyst,95000,Namibia,In Person,Namibia,M,Data Analyst,Americas
2024,Entry,Full Time,Data Engineer,152500,Namibia,In Person,Namibia,M,Data Engineer,Americas
2024,Entry,Full Time,Data Engineer,138200,Namibia,In Person,Namibia,M,Data Engineer,Americas
2024,Senior,Full Time,Research Scientist,164300,Namibia,In Person,Namibia,M,Research Scientist,Americas
2024,Senior,Full Time,Research Scientist,104000,Namibia,In Person,Namibia,M,Research Scientist,Americas
2024,Senior,Full Time,Data Analyst,163700,Namibia,In Person,Namibia,M,Data Analyst,Americas
2024,Senior,Full Time,Data Analyst,109100,Namibia,In Person,Namibia,M,Data Analyst,Americas
2024,Senior,Full Time,Data Engineer,130000,Namibia,In Person,Namibia,M,Data Engineer,Americas
2024,Senior,Full Time,Data Engineer,100000,Namibia,In Person,Namibia,M,Data Engineer,Americas
